Task ID,Task Name,Start Date,End Date,Duration (Days),Dependency,Phase,Owner,Risk Level
R1,R1 Requirements Gathering,2026-07-01,2026-07-07,7,,Research & Setup,PM,Low
R2,R2 Stakeholder Interviews,2026-07-08,2026-07-12,5,R1,Research & Setup,PM,Low
R3,R3 Project Charter Approval,2026-07-13,2026-07-15,3,R2,Research & Setup,PM,Low
R4,R4 Tool/Stack Selection,2026-07-13,2026-07-20,8,R3,Research & Setup,Dev Lead,Low
R5,R5 Infra & CI/CD Setup,2026-07-13,2026-07-28,16,R4,Research & Setup,DevOps,Low
A1,A1 Data Collection & Annotation,2026-07-21,2026-08-04,14,,Core Development,Data Scientist,Medium
A2,A2 Feature Extraction & Model Selection,2026-08-05,2026-08-18,14,A1,Core Development,Data Scientist,Medium
A3,A3 Model Training,2026-08-19,2026-09-02,14,A2,Core Development,ML Engineer,High
A4,A4 Model Evaluation & Tuning,2026-09-03,2026-09-09,7,A3,Core Development,ML Engineer,Medium
A5,A5 Backend API Service,2026-09-10,2026-09-23,14,A4,Core Development,Backend Dev,Medium
P1,P1 Image Dataset Prep,2026-08-05,2026-08-18,14,,Core Development,Dev,Low
P2,P2 Preprocessing Algorithms,2026-08-19,2026-09-02,14,P1,Core Development,Dev,Low
P3,P3 Pipeline Integration,2026-09-03,2026-09-09,7,P2,Core Development,Dev,Low
P4,P4 Frontend Wireframes,2026-07-21,2026-07-28,8,,Core Development,UX Designer,Low
P5,P5 UI Component Library,2026-07-29,2026-08-12,14,P4,Core Development,Frontend,Low
P6,P6 Data Layer Integration,2026-08-13,2026-08-26,14,P5,Core Development,Frontend,Low
P7,P7 Interactive Editing,2026-08-27,2026-09-09,14,P6,Core Development,Frontend,Low
P8,P8 App Integration,2026-09-10,2026-09-16,7,P7,Core Development,Frontend,Low
U1,U1 Backend Unit Tests,2026-09-07,2026-09-20,14,,Testing & Validation,QA,Low
U2,U2 Pipeline Unit Tests,2026-09-07,2026-09-20,14,,Testing & Validation,QA,Low
U3,U3 Frontend Unit Tests,2026-09-07,2026-09-20,14,,Testing & Validation,QA,Low
I1,I1 Integration Tests,2026-09-21,2026-10-04,14,U1,U2,U3,Testing & Validation,QA,Medium
S1,S1 System Tests,2026-09-21,2026-10-04,14,I1,Testing & Validation,QA,Medium
C1,C1 Performance Benchmarks,2026-09-22,2026-10-05,14,S1,Testing & Validation,DevOps,Low
A1r,A1r Acceptance Checklist,2026-10-01,2026-10-05,5,C1,Testing & Validation,PM,Low
D1,D1 Production API Deploy,2026-10-19,2026-10-25,7,A1r,Deployment & Handover,DevOps,Low
D2,D2 Production UI Deploy,2026-10-19,2026-10-25,7,D1,Deployment & Handover,Frontend,Low
D3,D3 Monitoring Setup,2026-10-19,2026-10-25,7,D1,D2,Deployment & Handover,DevOps,Low
D4,D4 Documentation & Training,2026-10-26,2026-10-31,6,D3,Deployment & Handover,Technical Writer,Low
